,drone_scaling_factor,drone_endurance,population_size,proportion_of_parents,tournament_size,tournament_probability,mutation_probability,total_generations,Fitness
0,0.95,0.94,117.0,0.68,1.0,0.68,0.73,332.0,-8.106
1,0.65,0.23,334.0,0.91,1.0,0.81,0.41,207.0,-7.282000000000001
2,0.45,0.15,211.0,0.33,1.0,0.51,0.92,400.0,-7.266
3,0.91,0.5,287.0,0.57,2.0,0.89,0.35,423.0,-6.652666666666668
4,0.57,0.57,143.0,0.15,1.0,0.23,0.84,426.0,-7.515333333333333
5,0.22,0.55,352.0,0.46,2.0,0.17,0.46,437.0,-4.526000000000001
6,0.16,0.9,111.0,0.5,3.0,0.42,0.18,154.0,-4.255333333333333
7,0.9,0.52,298.0,0.51,1.0,0.21,0.72,407.0,-7.445333333333334
8,0.4,0.11,385.0,0.52,4.0,0.7,0.76,363.0,-6.786666666666667
9,0.26,0.7,102.0,0.73,2.0,0.58,0.59,328.0,-5.1226666666666665
10,0.78,0.36,174.0,0.11,2.0,0.79,0.62,260.0,-7.197333333333334
11,0.59,0.77,348.0,0.36,1.0,0.45,0.85,220.0,-7.424
12,0.47,0.27,406.0,0.78,1.0,0.47,0.53,103.0,-7.087333333333333
13,0.23,0.13,271.0,0.9,2.0,0.53,0.61,387.0,-5.404000000000001
14,0.26,0.2,371.0,0.99,4.0,0.7,0.66,341.0,-4.9653333333333345
15,0.96,0.67,130.0,0.94,4.0,0.56,0.75,347.0,-6.8853333333333335
16,0.32,0.6,315.0,0.29,2.0,0.87,0.81,145.0,-5.6046666666666685
17,0.3,0.99,499.0,0.66,2.0,0.93,0.13,489.0,-4.857333333333333
18,0.63,0.29,411.0,0.96,4.0,0.3,0.33,163.0,-6.58
19,0.67,0.65,234.0,0.96,4.0,0.72,0.34,435.0,-4.7219999999999995
20,0.69,0.63,112.0,0.81,4.0,0.87,0.48,112.0,-5.204666666666666
21,0.25,0.17,182.0,0.93,2.0,0.16,0.86,442.0,-5.265333333333334
22,0.49,0.79,253.0,0.16,4.0,0.14,0.63,251.0,-6.353333333333334
23,0.44,0.98,278.0,0.81,4.0,0.2,0.38,368.0,-6.006000000000001
24,0.54,0.49,306.0,0.45,4.0,0.76,0.37,209.0,-4.846
25,0.82,0.89,125.0,0.33,2.0,0.78,0.15,397.0,-7.296
26,0.82,0.91,461.0,0.61,3.0,0.12,0.31,165.0,-6.597333333333334
27,0.61,0.2,213.0,0.88,2.0,0.6,0.66,133.0,-7.268666666666666
28,0.32,0.18,326.0,0.79,2.0,0.47,0.11,444.0,-5.901333333333334
29,0.18,0.27,293.0,0.54,1.0,0.94,0.9,388.0,-4.433333333333334
30,0.15,0.32,390.0,0.41,3.0,0.83,0.16,291.0,-3.6306666666666674
31,0.58,0.3,495.0,0.47,2.0,0.64,0.46,325.0,-6.918000000000001
32,0.42,0.4,228.0,0.6,4.0,0.74,0.2,174.0,-4.715333333333333
33,0.14,0.68,361.0,0.56,2.0,0.8,0.96,462.0,-3.935333333333334
34,0.61,0.14,190.0,0.59,2.0,0.48,0.88,107.0,-7.407333333333335
35,0.3,0.96,245.0,0.29,2.0,0.59,0.58,253.0,-5.339333333333333
36,0.37,0.35,223.0,0.36,2.0,0.38,0.18,318.0,-5.848666666666668
