,drone-scaling-factor,drone-endurance,population-size,proportion-of-parents,tournament-size,tournament-probability,mutation-probability,total-generations,Fitness
0,0.95,0.94,117.0,0.68,1.0,0.68,0.73,332.0,-8.106
1,0.65,0.23,334.0,0.91,1.0,0.81,0.41,207.0,-7.282000000000001
2,0.45,0.15,211.0,0.33,1.0,0.51,0.92,400.0,-7.266
3,0.91,0.5,287.0,0.57,2.0,0.89,0.35,423.0,-6.652666666666668
4,0.57,0.57,143.0,0.15,1.0,0.23,0.84,426.0,-7.515333333333333
5,0.22,0.55,352.0,0.46,2.0,0.17,0.46,437.0,-4.526000000000001
6,0.16,0.9,111.0,0.5,3.0,0.42,0.18,154.0,-4.255333333333333
7,0.9,0.52,298.0,0.51,1.0,0.21,0.72,407.0,-7.445333333333334
8,0.4,0.11,385.0,0.52,4.0,0.7,0.76,363.0,-6.786666666666667
9,0.26,0.7,102.0,0.73,2.0,0.58,0.59,328.0,-5.1226666666666665
10,0.78,0.36,174.0,0.11,2.0,0.79,0.62,260.0,-7.197333333333334
