1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0.0,0.22,0.47,0.49,0.3,0.63,0.41,0.35,0.62,0.47,0.23,0.29,0.51,0.71,0.26,0.09,0.14,0.29,0.48,0.11,0.21,0.06,0.31,0.34,0.41
0.22,0.0,0.42,0.69,0.22,0.42,0.35,0.52,0.63,0.6,0.41,0.48,0.37,0.7,0.07,0.18,0.2,0.24,0.26,0.11,0.09,0.18,0.29,0.15,0.28
0.47,0.42,0.0,0.88,0.2,0.63,0.07,0.81,1.05,0.41,0.69,0.51,0.2,0.28,0.48,0.52,0.33,0.19,0.51,0.45,0.34,0.41,0.17,0.55,0.19
0.49,0.69,0.88,0.0,0.76,1.1,0.84,0.25,0.71,0.63,0.29,0.39,0.97,1.04,0.73,0.52,0.59,0.74,0.95,0.59,0.7,0.54,0.73,0.79,0.88
0.3,0.22,0.2,0.76,0.0,0.51,0.13,0.65,0.85,0.45,0.53,0.44,0.21,0.47,0.28,0.33,0.17,0.03,0.36,0.25,0.14,0.24,0.09,0.36,0.12
0.63,0.42,0.63,1.1,0.51,0.0,0.57,0.9,0.8,0.96,0.81,0.89,0.44,0.88,0.37,0.58,0.59,0.54,0.16,0.52,0.45,0.6,0.59,0.32,0.44
0.41,0.35,0.07,0.84,0.13,0.57,0.0,0.76,0.98,0.43,0.64,0.49,0.17,0.35,0.4,0.46,0.28,0.13,0.44,0.38,0.27,0.35,0.12,0.48,0.13
0.35,0.52,0.81,0.25,0.65,0.9,0.76,0.0,0.48,0.68,0.13,0.42,0.86,1.03,0.54,0.35,0.48,0.64,0.76,0.43,0.55,0.41,0.65,0.58,0.76
0.62,0.63,1.05,0.71,0.85,0.8,0.98,0.48,0.0,1.08,0.52,0.84,0.99,1.31,0.59,0.54,0.73,0.85,0.73,0.6,0.71,0.66,0.89,0.56,0.91
0.47,0.6,0.41,0.63,0.45,0.96,0.43,0.68,1.08,0.0,0.58,0.27,0.6,0.45,0.66,0.56,0.4,0.42,0.81,0.54,0.53,0.45,0.36,0.75,0.54
0.23,0.41,0.69,0.29,0.53,0.81,0.64,0.13,0.52,0.58,0.0,0.32,0.73,0.91,0.44,0.23,0.36,0.51,0.66,0.31,0.43,0.29,0.52,0.49,0.64
0.29,0.48,0.51,0.39,0.44,0.89,0.49,0.42,0.84,0.27,0.32,0.0,0.64,0.66,0.54,0.37,0.3,0.41,0.73,0.39,0.44,0.29,0.38,0.62,0.56
0.51,0.37,0.2,0.97,0.21,0.44,0.17,0.86,0.99,0.6,0.73,0.64,0.0,0.43,0.4,0.52,0.38,0.24,0.35,0.44,0.31,0.45,0.26,0.45,0.1
0.71,0.7,0.28,1.04,0.47,0.88,0.35,1.03,1.31,0.45,0.91,0.66,0.43,0.0,0.75,0.77,0.58,0.46,0.77,0.71,0.61,0.66,0.42,0.82,0.46
0.26,0.07,0.48,0.73,0.28,0.37,0.4,0.54,0.59,0.66,0.44,0.54,0.4,0.75,0.0,0.21,0.26,0.3,0.22,0.15,0.15,0.24,0.35,0.09,0.32
0.09,0.18,0.52,0.52,0.33,0.58,0.46,0.35,0.54,0.56,0.23,0.37,0.52,0.77,0.21,0.0,0.19,0.33,0.43,0.08,0.21,0.12,0.36,0.27,0.43
0.14,0.2,0.33,0.59,0.17,0.59,0.28,0.48,0.73,0.4,0.36,0.3,0.38,0.58,0.26,0.19,0.0,0.15,0.44,0.14,0.14,0.07,0.17,0.35,0.29
0.29,0.24,0.19,0.74,0.03,0.54,0.13,0.64,0.85,0.42,0.51,0.41,0.24,0.46,0.3,0.33,0.15,0.0,0.39,0.25,0.15,0.22,0.06,0.38,0.15
0.48,0.26,0.51,0.95,0.36,0.16,0.44,0.76,0.73,0.81,0.66,0.73,0.35,0.77,0.22,0.43,0.44,0.39,0.0,0.37,0.3,0.44,0.45,0.19,0.32
0.11,0.11,0.45,0.59,0.25,0.52,0.38,0.43,0.6,0.54,0.31,0.39,0.44,0.71,0.15,0.08,0.14,0.25,0.37,0.0,0.13,0.09,0.29,0.23,0.34
0.21,0.09,0.34,0.7,0.14,0.45,0.27,0.55,0.71,0.53,0.43,0.44,0.31,0.61,0.15,0.21,0.14,0.15,0.3,0.13,0.0,0.16,0.2,0.23,0.21
0.06,0.18,0.41,0.54,0.24,0.6,0.35,0.41,0.66,0.45,0.29,0.29,0.45,0.66,0.24,0.12,0.07,0.22,0.44,0.09,0.16,0.0,0.24,0.33,0.35
0.31,0.29,0.17,0.73,0.09,0.59,0.12,0.65,0.89,0.36,0.52,0.38,0.26,0.42,0.35,0.36,0.17,0.06,0.45,0.29,0.2,0.24,0.0,0.43,0.19
0.34,0.15,0.55,0.79,0.36,0.32,0.48,0.58,0.56,0.75,0.49,0.62,0.45,0.82,0.09,0.27,0.35,0.38,0.19,0.23,0.23,0.33,0.43,0.0,0.37
0.41,0.28,0.19,0.88,0.12,0.44,0.13,0.76,0.91,0.54,0.64,0.56,0.1,0.46,0.32,0.43,0.29,0.15,0.32,0.34,0.21,0.35,0.19,0.37,0.0
