1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0.0,0.45,0.98,0.33,0.11,0.41,0.76,0.43,0.87,0.47,0.28,0.44,0.83,0.71,0.37,0.58,0.5,0.66,0.26,0.77,0.25,0.79,0.4,0.65,0.57
0.45,0.0,0.88,0.69,0.41,0.21,0.34,0.63,0.67,0.06,0.29,0.54,0.64,0.44,0.08,0.71,0.1,0.58,0.43,0.79,0.24,0.61,0.26,0.56,0.66
0.98,0.88,0.0,0.86,1.05,0.69,0.75,0.64,0.25,0.93,0.73,0.56,0.26,0.47,0.85,0.51,0.79,0.33,0.72,0.29,1.0,0.27,1.12,0.34,0.47
0.33,0.69,0.86,0.0,0.45,0.54,0.91,0.22,0.84,0.73,0.41,0.32,0.79,0.76,0.61,0.36,0.69,0.58,0.27,0.59,0.55,0.75,0.72,0.58,0.39
0.11,0.41,1.05,0.45,0.0,0.42,0.74,0.54,0.92,0.42,0.33,0.53,0.88,0.74,0.34,0.68,0.48,0.73,0.35,0.86,0.18,0.84,0.31,0.71,0.66
0.41,0.21,0.69,0.54,0.42,0.0,0.38,0.44,0.52,0.27,0.14,0.34,0.48,0.32,0.16,0.51,0.16,0.38,0.27,0.58,0.31,0.44,0.43,0.36,0.46
0.76,0.34,0.75,0.91,0.74,0.38,0.0,0.78,0.51,0.36,0.52,0.67,0.5,0.3,0.39,0.81,0.26,0.56,0.64,0.79,0.58,0.49,0.58,0.53,0.75
0.43,0.63,0.64,0.22,0.54,0.44,0.78,0.0,0.62,0.68,0.34,0.12,0.57,0.58,0.56,0.15,0.6,0.37,0.21,0.37,0.58,0.54,0.75,0.37,0.16
0.87,0.67,0.25,0.84,0.92,0.52,0.51,0.62,0.0,0.72,0.6,0.51,0.05,0.24,0.67,0.55,0.57,0.25,0.63,0.4,0.83,0.09,0.93,0.25,0.49
0.47,0.06,0.93,0.73,0.42,0.27,0.36,0.68,0.72,0.0,0.34,0.6,0.69,0.49,0.12,0.77,0.15,0.64,0.48,0.85,0.24,0.66,0.23,0.62,0.72
0.28,0.29,0.73,0.41,0.33,0.14,0.52,0.34,0.6,0.34,0.0,0.27,0.55,0.43,0.22,0.44,0.29,0.41,0.14,0.57,0.28,0.51,0.43,0.39,0.4
0.44,0.54,0.56,0.32,0.53,0.34,0.67,0.12,0.51,0.6,0.27,0.0,0.47,0.46,0.48,0.17,0.51,0.26,0.18,0.33,0.54,0.43,0.7,0.26,0.13
0.83,0.64,0.26,0.79,0.88,0.48,0.5,0.57,0.05,0.69,0.55,0.47,0.0,0.21,0.63,0.5,0.54,0.21,0.58,0.36,0.79,0.04,0.89,0.2,0.44
0.71,0.44,0.47,0.76,0.74,0.32,0.3,0.58,0.24,0.49,0.43,0.46,0.21,0.0,0.45,0.56,0.34,0.28,0.51,0.5,0.63,0.19,0.71,0.26,0.5
0.37,0.08,0.85,0.61,0.34,0.16,0.39,0.56,0.67,0.12,0.22,0.48,0.63,0.45,0.0,0.65,0.14,0.55,0.35,0.75,0.19,0.6,0.26,0.52,0.6
0.58,0.71,0.51,0.36,0.68,0.51,0.81,0.15,0.55,0.77,0.44,0.17,0.5,0.56,0.65,0.0,0.67,0.3,0.34,0.23,0.7,0.47,0.86,0.32,0.06
0.5,0.1,0.79,0.69,0.48,0.16,0.26,0.6,0.57,0.15,0.29,0.51,0.54,0.34,0.14,0.67,0.0,0.5,0.42,0.72,0.33,0.52,0.37,0.48,0.61
0.66,0.58,0.33,0.58,0.73,0.38,0.56,0.37,0.25,0.64,0.41,0.26,0.21,0.28,0.55,0.3,0.5,0.0,0.4,0.23,0.68,0.17,0.81,0.03,0.24
0.26,0.43,0.72,0.27,0.35,0.27,0.64,0.21,0.63,0.48,0.14,0.18,0.58,0.51,0.35,0.34,0.42,0.4,0.0,0.51,0.37,0.54,0.53,0.39,0.32
0.77,0.79,0.29,0.59,0.86,0.58,0.79,0.37,0.4,0.85,0.57,0.33,0.36,0.5,0.75,0.23,0.72,0.23,0.51,0.0,0.85,0.35,0.99,0.26,0.21
0.25,0.24,1.0,0.55,0.18,0.31,0.58,0.58,0.83,0.24,0.28,0.54,0.79,0.63,0.19,0.7,0.33,0.68,0.37,0.85,0.0,0.76,0.17,0.66,0.67
0.79,0.61,0.27,0.75,0.84,0.44,0.49,0.54,0.09,0.66,0.51,0.43,0.04,0.19,0.6,0.47,0.52,0.17,0.54,0.35,0.76,0.0,0.86,0.17,0.41
0.4,0.26,1.12,0.72,0.31,0.43,0.58,0.75,0.93,0.23,0.43,0.7,0.89,0.71,0.26,0.86,0.37,0.81,0.53,0.99,0.17,0.86,0.0,0.78,0.83
0.65,0.56,0.34,0.58,0.71,0.36,0.53,0.37,0.25,0.62,0.39,0.26,0.2,0.26,0.52,0.32,0.48,0.03,0.39,0.26,0.66,0.17,0.78,0.0,0.25
0.57,0.66,0.47,0.39,0.66,0.46,0.75,0.16,0.49,0.72,0.4,0.13,0.44,0.5,0.6,0.06,0.61,0.24,0.32,0.21,0.67,0.41,0.83,0.25,0.0
