,0
0,-8.106
1,-7.282000000000001
2,-7.266
3,-6.652666666666668
4,-7.515333333333333
5,-4.526000000000001
6,-4.255333333333333
7,-7.445333333333334
8,-6.786666666666667
9,-5.1226666666666665
10,-7.197333333333334
11,-7.424
12,-7.087333333333333
13,-5.404000000000001
14,-4.9653333333333345
15,-6.8853333333333335
16,-5.6046666666666685
17,-4.857333333333333
18,-6.58
19,-4.7219999999999995
20,-5.204666666666666
21,-5.265333333333334
22,-6.353333333333334
23,-6.006000000000001
24,-4.846
25,-7.296
26,-6.597333333333334
27,-7.268666666666666
28,-5.901333333333334
29,-4.433333333333334
30,-3.6306666666666674
31,-6.918000000000001
32,-4.715333333333333
33,-3.935333333333334
34,-7.407333333333335
35,-5.339333333333333
36,-5.848666666666668
